"Latitude (decimal degrees):	53.434",,,,,,
"Longitude (decimal degrees):	-9.060",,,,,,
"Elevation (m):	18",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	7.9",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0,0,0,6.22,2.14,0
20200101:0111,0,0,0,6.2,2.21,0
20200101:0211,0,0,0,5.87,2.34,0
20200101:0311,0,0,0,5.62,2.48,0
20200101:0411,0,0,0,5.43,2.55,0
20200101:0511,0,0,0,5.39,2.69,0
20200101:0611,0,0,0,5.38,2.83,0
20200101:0711,0,0,0,5.92,2.83,0
20200101:0811,0,0,0,5.92,2.97,0
20200101:0911,0,0,0,5.91,3.1,0
20200101:1011,43.24,16.08,7.08,6.18,3.17,0
20200101:1111,236.57,49.19,11.19,6.71,3.31,0
20200101:1211,779.72,128.52,13.31,7.3,2.97,0
20200101:1311,2082.41,310.81,13.25,7.77,3.24,0
20200101:1411,1042.27,165.73,11.03,8.15,3.24,0
20200101:1511,694.27,117.19,6.83,8.21,4.07,0
20200101:1611,0,0,0,8.13,4.07,0
20200101:1711,0,0,0,7.79,4.14,0
20200101:1811,0,0,0,7.41,4.34,0
20200101:1911,0,0,0,7.81,4.48,0
20200101:2011,0,0,0,7.71,4.62,0
20200101:2111,0,0,0,7.51,4.76,0
20200101:2211,0,0,0,7.61,4.9,0
20200101:2311,0,0,0,7.62,4.97,0
20200102:0011,0,0,0,7.73,5.24,0
20200102:0111,0,0,0,7.58,5.45,0
20200102:0211,0,0,0,7.71,5.59,0
20200102:0311,0,0,0,7.99,5.72,0
20200102:0411,0,0,0,8.48,5.86,0
20200102:0511,0,0,0,8.78,5.93,0
20200102:0611,0,0,0,9.13,6.28,0
20200102:0711,0,0,0,9.77,6.41,0
20200102:0811,0,0,0,10.1,6.34,0
20200102:0911,0,0,0,10.1,6.14,0
20200102:1011,354.02,67.85,7.12,10.14,6.14,0
20200102:1111,2984.18,441.06,11.24,10.39,6.21,0
20200102:1211,678.35,115.56,13.38,10.96,6.9,0
20200102:1311,569.29,100,13.35,11.33,7.79,0
20200102:1411,399.72,74.9,11.14,11.06,7.93,0
20200102:1511,376.28,71.37,6.95,10.9,8.21,0
20200102:1611,0,0,0,10.65,7.66,0
20200102:1711,0,0,0,10.51,7.24,0
20200102:1811,0,0,0,10.49,6.34,0
20200102:1911,0,0,0,10.31,4.55,0
20200102:2011,0,0,0,9.92,3.72,0
20200102:2111,0,0,0,8.7,5.52,0
20200102:2211,0,0,0,7.78,5.1,0
20200102:2311,0,0,0,7.18,4.69,0
20200103:0011,0,0,0,6.8,4.28,0
20200103:0111,0,0,0,6.61,3.86,0
20200103:0211,0,0,0,6.49,3.66,0
20200103:0311,0,0,0,6.28,3.38,0
20200103:0411,0,0,0,5.76,3.24,0
20200103:0511,0,0,0,5.45,3.1,0
20200103:0611,0,0,0,5.19,2.76,0
20200103:0711,0,0,0,4.67,2.55,0
20200103:0811,0,0,0,4.42,2.34,0
20200103:0911,0,0,0,4.19,2.34,0
20200103:1011,1812.33,272.63,7.17,4.38,2.34,0
20200103:1111,2931.27,431.19,11.31,5.79,2.41,0
20200103:1211,2368.79,351.34,13.47,7.28,2.76,0
20200103:1311,1175.01,184.3,13.45,8.16,3.24,0
20200103:1411,2640.05,392.34,11.25,8.61,3.31,0
20200103:1511,33.58,14.19,7.08,8.49,3.03,0
20200103:1611,0,0,0,7.92,3.03,0
20200103:1711,0,0,0,7.64,3.1,0
20200103:1811,0,0,0,7.65,3.17,0
20200103:1911,0,0,0,7.73,3.45,0
20200103:2011,0,0,0,7.76,3.59,0
20200103:2111,0,0,0,7.69,3.72,0
20200103:2211,0,0,0,7.69,3.72,0
20200103:2311,0,0,0,7.92,3.86,0
20200104:0011,0,0,0,8,3.86,0
20200104:0111,0,0,0,8.11,3.86,0
20200104:0211,0,0,0,8.12,3.79,0
20200104:0311,0,0,0,8.2,3.93,0
20200104:0411,0,0,0,7.99,4,0
20200104:0511,0,0,0,7.99,3.93,0
20200104:0611,0,0,0,7.82,3.86,0
20200104:0711,0,0,0,7.59,3.66,0
20200104:0811,0,0,0,7.59,3.52,0
20200104:0911,0,0,0,7.73,3.45,0
20200104:1011,588.46,101.82,7.23,7.92,3.45,0
20200104:1111,601.29,103.63,11.39,8.61,3.66,0
20200104:1211,1465.44,225.46,13.56,9.13,3.79,0
20200104:1311,577.76,100.73,13.56,9.41,3.79,0
20200104:1411,318.3,62.38,11.38,9.54,3.86,0
20200104:1511,91.79,25.54,7.21,9.5,4.07,0
20200104:1611,0,0,0,9.32,4.28,0
20200104:1711,0,0,0,9.2,4.34,0
20200104:1811,0,0,0,9.18,4.34,0
20200104:1911,0,0,0,9.29,4.41,0
20200104:2011,0,0,0,9.25,4.48,0
20200104:2111,0,0,0,9.04,4.48,0
20200104:2211,0,0,0,9.03,4.55,0
20200104:2311,0,0,0,8.99,4.69,0
20200105:0011,0,0,0,9,4.83,0
20200105:0111,0,0,0,8.94,4.9,0
20200105:0211,0,0,0,8.77,4.83,0
20200105:0311,0,0,0,8.69,4.62,0
20200105:0411,0,0,0,8.82,4.9,0
20200105:0511,0,0,0,9.09,5.17,0
20200105:0611,0,0,0,9.41,5.38,0
20200105:0711,0,0,0,9.74,5.38,0
20200105:0811,0,0,0,9.97,5.31,0
20200105:0911,0,0.95,1.45,10.16,5.31,0
20200105:1011,42.13,16.08,7.29,10.36,5.31,0
20200105:1111,70.88,21.76,11.47,10.51,5.38,0
20200105:1211,357.59,68.63,13.66,10.71,5.52,0
20200105:1311,156.58,36.89,13.67,10.79,5.59,0
